"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ProjectRock: TODAY transcend your limits with an #IronWill. For the first time ever, shop #ProjectRock training gear for men, women AND…",FALSE,0,NA,2019-09-19 18:21:49,FALSE,NA,"1174750456062476288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",114,TRUE,FALSE,NA,NA
"RT @Eastbay: #BuildtheBelief and cop the new @UnderArmour Project Rock 2 before they're gone! @TheRock <U+0001F3CB><U+FE0F><U+200D><U+2642><U+FE0F> -&gt; https://t.co/4tui4y7bwk #Un…",FALSE,0,NA,2019-09-19 18:11:09,FALSE,NA,"1174747772571881472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",43,TRUE,FALSE,NA,NA
"Proud of our @ProjectRock Women’s collection. Continues to build out and motivate women worldwide. Thank you to my… https://t.co/9zwnEjOXbv",FALSE,1324,NA,2019-09-19 18:10:22,TRUE,NA,"1174747574139416576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",91,FALSE,FALSE,NA,NA
"Thank you man. We put a lot of work into this new collection. Our biggest ever. #IronWillCollection @ProjectRock… https://t.co/vvoFO9ptj6",FALSE,844,NA,2019-09-19 18:06:52,TRUE,NA,"1174746695378206720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",63,FALSE,FALSE,NA,NA
"<U+0001F9E2> #IronWillCollection https://t.co/vYtBQVKnbv 
Enjoy <U+0001F44A><U+0001F3FE> https://t.co/Dllnqcesjg",FALSE,732,NA,2019-09-19 18:05:59,FALSE,NA,"1174746474019577857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",65,FALSE,FALSE,NA,NA
"It was an early rise for us <U+2600><U+FE0F> Enjoy the gear! #IronWillCollection https://t.co/vYtBQVKnbv https://t.co/udk2SHs9cK",FALSE,779,NA,2019-09-19 18:05:07,FALSE,NA,"1174746254602948608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",67,FALSE,FALSE,NA,NA
"Gym couples goals! Enjoy the new training gear. @ProjectRock @UnderArmour #IronWillCollection… https://t.co/61uS7YQ5Ly",FALSE,745,NA,2019-09-19 18:04:07,TRUE,NA,"1174746001338318848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",62,FALSE,FALSE,NA,NA
"RT @lindseyvonn: Our new @projectrock Iron Will collection is out TODAY!! @TheRock  and I are so excited to finally share it with you!! Kee…",FALSE,0,NA,2019-09-19 14:12:26,FALSE,NA,"1174687697174089728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",119,TRUE,FALSE,NA,NA
"AVAILABLE NOW!!
My NEW @ProjectRock @UnderArmour #IronWillCollection. 
In Men’s, Women’s &amp; Youth’s. 
Show up, chalk… https://t.co/r62q33PkJP",FALSE,6168,NA,2019-09-19 12:13:16,TRUE,NA,"1174657709125206022",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",641,FALSE,FALSE,NA,NA
"@PeytonKolb 1000% you wore it better. Way better. <U+0001F44A><U+0001F3FE><U+0001F44A><U+0001F3FE>",FALSE,403,"PeytonKolb",2019-09-19 04:49:15,FALSE,"1174494621923270656","1174545967892189185","3278900346","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",13,FALSE,FALSE,NA,NA
"We’re less than 8hrs away from our biggest @ProjectRock @UnderArmour ever. 
Men, Women and Youths. 
Enjoy the gear… https://t.co/qoT8G9OlVW",FALSE,6488,NA,2019-09-19 04:22:01,TRUE,NA,"1174539116345622528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",489,FALSE,FALSE,NA,NA
"RT @lindseyvonn: So....@TheRock invited me to his Iron Paradise to shoot the new @UnderArmour @ProjectRock #IronWillCollection campaign<U+0001F483><U+0001F3FC><U+0001F64C><U+0001F3FB>…",FALSE,0,NA,2019-09-18 21:19:10,FALSE,NA,"1174432701673168896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",138,TRUE,FALSE,NA,NA
"RT @MastrianniChris: Yes! I’ll take 5 pairs @UnderArmour and shout out to @TheRock for this design. https://t.co/C0XlC3uDOA",FALSE,0,NA,2019-09-18 21:19:01,FALSE,NA,"1174432663886692352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",36,TRUE,FALSE,NA,NA
"My new @ProjectRock PR2 training shoe DROPS ATOMORROW in new color ways. 
@UnderArmour’s #1 seller. 
Enjoy!… https://t.co/KYzVP5ZvEF",FALSE,2182,NA,2019-09-18 21:18:20,TRUE,NA,"1174432493400756225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",134,FALSE,FALSE,NA,NA
